"id","sex","major","haveCat","haveDog","heightCM","yearsInUni","extraversion","optimism","gratitude","foodPreference","spicyTolerance","ladderRank","fomo","conflictAvoidance","happiness","stress","tiktokLiking","chatgptLiking","memeKnowledge","cognitiveAbility"
546,"F","PSYC","No","Yes",159,5,4,3,5,"Koufu",3,4,3,5,4,6,3,3,3,4
547,"F","PSYC","No","No",170,1,3,4,5,"Koufu",3,5,4,5,4,3,5,4,5,5
548,"F","PSYC","Yes","No",160,2,3,4,5,"Koufu",3,5,3,5,6,3,3,5,3,3
549,"M","SOCG","No","Yes",166,4,6,4,3,"Koufu",3,5,4,4,5,5,3,3,3,4
550,"F","PSYC","No","Yes",173,3,5,3,4,"Funan",4,5,4,4,4,4,4,4,4,4
551,"F","POSC","No","No",165,3,4,4,6,"Funan",4,4,3,4,5,3,3,4,3,4
552,"M","PSYC","Yes","Yes",177,3,6,5,4,"Connexion",4,7,4,3,6,5,4,1,4,7
553,"F","SOCG","No","No",164,4,4,2,5,"Koufu",3,2,3,5,4,5,4,3,4,5
554,"M","POSC","No","No",163,3,4,5,4,"Funan",4,8,4,4,6,4,2,4,3,4
555,"M","PSYC","No","No",169,5,5,4,4,"Connexion",4,6,4,3,4,5,5,4,5,6
556,"M","SOCG","No","Yes",187,3,6,5,3,"Funan",4,6,5,3,5,4,3,4,3,3
557,"F","PSYC","No","No",153,1,2,4,3,"Funan",4,5,5,4,3,3,3,5,3,2
558,"F","POSC","Yes","No",170,1,3,4,6,"Funan",3,4,2,5,4,3,3,3,3,4
559,"M","PSYC","No","No",175,5,5,3,3,"Connexion",4,4,5,4,3,6,5,5,5,4
560,"M","POSC","No","No",180,3,5,4,3,"Funan",5,6,5,3,5,5,3,4,4,4
561,"F","PSYC","No","No",155,3,4,3,5,"Connexion",3,4,3,5,4,3,4,4,4,5
562,"M","PSYC","Yes","No",179,4,5,4,4,"Connexion",2,3,4,5,4,5,3,5,3,2
563,"M","PSYC","Yes","Yes",174,3,5,5,4,"Connexion",4,7,4,4,6,2,3,4,3,4
564,"F","POSC","No","No",155,2,3,4,5,"Koufu",3,5,5,5,4,4,5,5,5,4
565,"M","PSYC","No","No",175,3,5,4,4,"Connexion",3,5,4,4,5,5,4,5,4,3
566,"M","PSYC","No","No",175,1,4,7,3,"Koufu",3,7,4,5,6,2,4,3,4,5
567,"F","PSYC","No","No",167,3,4,3,5,"Koufu",3,3,3,5,4,3,4,4,4,5
568,"M","POSC","No","No",171,3,5,5,4,"Funan",6,5,3,2,5,4,4,3,4,5
569,"F","PSYC","No","No",167,3,4,4,5,"Koufu",3,4,3,5,5,4,4,3,4,5
570,"M","PSYC","No","No",159,5,5,3,3,"Connexion",4,4,5,4,3,6,4,4,4,4
571,"F","PSYC","No","No",166,3,3,3,5,"Connexion",3,2,2,6,3,4,2,2,2,4
572,"F","POSC","Yes","No",155,3,3,3,5,"Koufu",4,5,4,5,4,5,4,4,4,4
573,"M","SOCG","No","Yes",171,2,5,6,3,"Connexion",3,6,4,4,4,2,3,4,4,5
574,"M","SOCG","Yes","No",175,2,4,6,3,"Koufu",2,7,5,4,5,3,4,4,4,4
575,"F","POSC","Yes","No",167,1,3,4,5,"Funan",5,4,4,4,4,3,3,3,3,4
576,"M","POSC","No","No",171,2,4,5,3,"Koufu",2,6,5,5,4,4,4,5,5,4
577,"F","SOCG","No","No",160,4,4,2,5,"Connexion",3,2,4,4,3,5,3,5,3,2
578,"M","SOCG","Yes","No",171,4,5,4,4,"Funan",3,4,5,4,5,5,5,5,5,4
579,"F","PSYC","No","Yes",164,2,3,5,5,"Koufu",3,3,4,5,4,4,3,5,3,2
580,"F","SOCG","No","No",162,3,3,4,4,"Funan",6,5,4,2,4,5,3,5,3,2
581,"M","PSYC","Yes","Yes",173,4,6,5,4,"Funan",4,7,3,3,6,5,3,2,3,5
582,"M","SOCG","No","No",168,3,4,4,4,"Koufu",3,5,4,4,4,4,4,3,4,5
583,"M","POSC","No","No",166,4,5,4,3,"Koufu",4,5,4,4,4,5,5,3,5,6
584,"M","PSYC","No","No",167,5,5,2,4,"Koufu",3,3,4,4,3,4,4,6,4,3
585,"M","PSYC","No","Yes",176,2,5,5,5,"Connexion",4,6,3,4,6,3,2,4,2,3
586,"M","SOCG","Yes","No",180,2,5,6,4,"Funan",4,8,5,3,5,3,4,4,4,5
587,"M","SOCG","No","No",175,3,4,5,3,"Funan",5,7,5,2,5,4,5,5,5,4
588,"M","PSYC","Yes","No",167,4,5,4,3,"Connexion",3,7,5,4,4,5,4,5,5,4
589,"M","PSYC","No","No",172,5,5,3,3,"Connexion",4,5,5,3,3,5,3,6,3,2
590,"F","SOCG","No","No",153,3,3,3,5,"Funan",4,4,4,5,3,5,5,4,5,5
591,"M","PSYC","No","Yes",184,3,6,6,4,"Connexion",4,7,4,3,6,4,3,4,3,3
592,"F","PSYC","Yes","No",164,3,3,4,6,"Funan",5,5,2,3,5,3,2,3,2,4
593,"F","PSYC","No","No",166,3,4,4,6,"Funan",5,5,3,4,5,4,3,3,3,4
594,"F","SOCG","No","No",164,3,5,3,5,"Koufu",4,3,5,2,3,5,3,4,4,4
595,"F","POSC","No","No",169,2,4,4,5,"Connexion",4,5,3,4,5,3,3,3,3,4
596,"F","SOCG","Yes","No",156,1,2,4,5,"Koufu",3,4,4,5,4,3,4,3,4,5
597,"F","SOCG","No","No",163,3,4,4,5,"Funan",5,4,3,3,4,3,3,5,3,3
598,"M","PSYC","No","Yes",172,1,4,5,3,"Koufu",3,7,5,4,5,4,3,6,3,1
599,"F","PSYC","No","Yes",155,1,4,4,5,"Funan",5,3,3,4,4,3,3,5,3,2
600,"M","PSYC","Yes","No",173,1,3,7,4,"Funan",4,8,5,4,6,2,4,5,4,4
601,"F","PSYC","No","No",161,2,4,4,5,"Funan",4,5,4,4,4,5,4,5,4,2
602,"F","SOCG","No","No",160,2,3,3,5,"Koufu",2,3,5,5,3,4,4,5,4,3
603,"M","PSYC","No","Yes",181,3,6,4,5,"Koufu",5,5,3,3,5,4,4,4,4,4
604,"F","POSC","No","No",162,2,4,4,5,"Koufu",4,5,4,4,5,2,3,5,3,3
605,"M","SOCG","No","Yes",177,2,5,5,4,"Koufu",2,6,4,4,5,3,3,4,3,4
606,"F","SOCG","Yes","No",155,2,3,5,6,"Connexion",3,7,3,4,5,4,2,3,2,3
607,"F","PSYC","Yes","No",160,2,4,3,6,"Funan",4,4,3,4,3,5,4,3,4,4
608,"M","PSYC","Yes","No",173,3,4,4,3,"Koufu",3,6,5,4,5,5,3,5,3,2
609,"F","SOCG","Yes","Yes",174,1,5,4,5,"Koufu",3,5,3,4,5,4,3,4,3,3
610,"M","SOCG","No","No",177,3,6,4,4,"Funan",6,5,3,2,4,3,4,4,4,5
611,"M","SOCG","No","No",168,2,5,5,3,"Funan",5,7,6,2,4,3,5,6,5,4
612,"M","POSC","No","No",172,2,5,6,3,"Connexion",5,8,5,3,4,3,4,5,4,4
613,"F","PSYC","No","No",168,2,3,4,6,"Koufu",3,4,2,5,5,4,3,3,3,4
614,"M","SOCG","No","No",180,4,6,5,4,"Koufu",3,6,3,4,6,4,4,4,4,5
615,"M","PSYC","Yes","No",168,3,4,4,2,"Funan",4,7,6,4,5,6,4,5,5,4
616,"F","PSYC","No","Yes",167,2,3,4,5,"Koufu",3,4,3,5,5,4,2,4,2,2
617,"M","PSYC","No","No",177,3,6,5,3,"Koufu",3,5,5,4,3,4,3,5,4,4
618,"F","PSYC","No","No",162,3,4,4,5,"Koufu",5,2,3,3,3,3,5,2,5,7
619,"F","SOCG","Yes","No",159,4,4,3,5,"Funan",4,5,3,4,4,4,4,3,4,6
620,"M","PSYC","Yes","No",176,5,5,3,2,"Funan",5,4,5,3,2,5,5,4,5,5
621,"M","POSC","No","Yes",174,2,5,6,4,"Connexion",4,7,4,4,6,3,5,3,5,6
622,"F","PSYC","No","No",159,5,5,2,5,"Connexion",4,3,3,4,3,6,3,5,3,3
623,"F","PSYC","No","Yes",154,4,4,3,5,"Funan",5,4,3,4,3,4,2,4,2,3
624,"M","SOCG","No","No",165,4,5,4,4,"Koufu",3,4,3,4,4,4,4,2,4,6
625,"M","PSYC","No","No",171,3,6,4,3,"Koufu",4,5,5,3,5,4,4,4,4,4
626,"F","PSYC","No","No",171,1,3,5,4,"Funan",5,6,4,4,4,3,4,3,4,5
627,"F","POSC","Yes","No",156,1,3,4,5,"Connexion",3,5,4,5,4,3,3,4,4,4
628,"M","SOCG","Yes","No",175,3,4,6,4,"Connexion",3,7,4,4,5,3,3,5,3,3
629,"F","PSYC","No","No",157,2,3,3,4,"Connexion",3,3,4,5,3,4,3,4,3,3
630,"M","PSYC","Yes","No",186,4,5,4,5,"Connexion",4,5,3,4,5,4,3,3,3,5
631,"M","PSYC","Yes","Yes",165,4,5,4,3,"Connexion",3,6,4,4,5,4,3,4,3,4
632,"M","PSYC","No","Yes",178,3,5,5,4,"Connexion",2,7,3,5,5,4,3,4,3,4
633,"F","PSYC","No","No",165,4,4,2,5,"Connexion",4,4,4,4,4,5,4,4,4,4
634,"F","POSC","No","No",161,1,2,5,6,"Funan",5,4,4,4,4,3,5,2,5,6
635,"F","POSC","No","No",162,5,5,3,5,"Funan",6,3,3,3,3,5,3,4,3,4
636,"M","SOCG","Yes","No",176,4,5,4,4,"Koufu",1,5,4,5,4,4,3,3,3,5
637,"F","PSYC","No","No",171,1,3,4,6,"Koufu",2,4,3,6,4,3,3,4,3,3
638,"F","SOCG","Yes","Yes",166,4,5,3,5,"Funan",4,4,4,4,5,6,3,4,3,3
639,"M","SOCG","No","No",172,1,4,6,3,"Funan",4,7,4,3,5,3,4,4,4,4
640,"M","PSYC","Yes","No",170,2,4,5,3,"Koufu",3,6,4,5,4,2,3,3,3,5
641,"F","SOCG","No","No",155,3,3,3,5,"Koufu",2,4,4,5,3,5,4,4,4,4
642,"M","PSYC","No","No",167,4,5,4,4,"Koufu",4,6,5,4,5,4,5,4,5,6
643,"F","SOCG","Yes","No",159,5,3,2,6,"Koufu",3,4,2,4,4,3,2,1,2,6
644,"M","PSYC","Yes","No",180,2,4,4,3,"Koufu",5,5,5,3,4,3,4,5,4,3
645,"M","PSYC","Yes","No",185,1,4,5,4,"Connexion",3,6,4,4,5,3,2,4,3,3
646,"F","PSYC","No","No",154,2,3,3,5,"Connexion",4,3,4,5,3,4,4,4,4,4
647,"M","SOCG","Yes","Yes",165,1,4,5,4,"Funan",6,6,4,2,5,4,4,3,4,4
648,"M","PSYC","No","No",167,1,4,6,2,"Koufu",4,9,5,4,5,3,3,5,3,2
649,"M","PSYC","Yes","Yes",176,3,6,4,3,"Connexion",3,7,5,4,5,6,4,6,5,3
650,"F","SOCG","Yes","No",162,5,4,1,5,"Funan",5,3,4,3,4,6,4,4,4,4
651,"M","SOCG","No","No",181,3,5,4,3,"Koufu",4,6,5,3,5,4,3,6,3,2
652,"M","PSYC","No","No",173,3,5,4,4,"Connexion",2,6,4,5,5,4,4,4,4,4
653,"F","POSC","No","Yes",160,4,5,3,5,"Koufu",4,3,4,4,4,4,3,4,3,4
654,"F","SOCG","No","Yes",163,3,4,3,5,"Koufu",4,2,2,4,4,3,3,4,3,3
655,"M","SOCG","No","No",166,2,4,6,4,"Koufu",4,8,3,4,6,2,3,5,3,3
656,"M","PSYC","No","Yes",178,4,5,5,4,"Connexion",3,7,5,4,6,5,3,4,3,4
657,"M","PSYC","No","No",174,3,5,4,3,"Koufu",4,8,4,3,5,3,5,3,5,6
658,"F","PSYC","No","No",172,3,4,3,5,"Connexion",4,3,4,4,4,4,4,4,4,4
659,"M","PSYC","Yes","No",182,1,3,6,3,"Funan",6,7,4,3,5,4,5,5,5,4
660,"F","SOCG","No","No",159,3,4,4,3,"Koufu",4,5,5,4,3,5,3,4,3,3
661,"M","SOCG","No","No",173,1,4,6,3,"Koufu",3,7,5,4,5,3,5,4,5,5
662,"M","POSC","Yes","No",175,1,4,6,3,"Connexion",4,7,4,4,6,2,2,3,3,4
663,"M","PSYC","Yes","No",179,2,5,5,3,"Connexion",3,6,5,3,4,4,4,6,4,2
664,"F","POSC","No","Yes",150,2,4,3,4,"Funan",6,4,4,2,3,4,4,3,4,5
665,"F","PSYC","Yes","No",171,3,3,4,5,"Connexion",2,7,4,6,5,4,3,4,3,4
666,"M","PSYC","No","No",174,4,5,3,4,"Koufu",4,5,4,4,4,5,4,3,4,5
667,"M","PSYC","Yes","No",159,3,4,4,3,"Koufu",4,5,4,4,4,4,3,4,3,3
668,"M","PSYC","No","No",161,2,4,5,4,"Koufu",4,6,4,3,4,3,5,4,5,5
669,"M","SOCG","Yes","No",175,2,4,5,3,"Connexion",4,7,4,4,6,3,4,3,4,5
670,"F","POSC","No","No",173,4,5,3,5,"Funan",5,4,5,3,3,5,4,4,4,4
671,"F","POSC","No","No",161,3,4,4,5,"Koufu",3,5,3,4,4,3,2,3,2,4
672,"F","PSYC","No","No",159,3,4,4,6,"Koufu",4,4,2,5,4,4,1,2,1,3
673,"M","PSYC","No","No",176,4,5,4,4,"Koufu",3,5,5,5,4,4,4,6,4,3
674,"F","PSYC","Yes","No",170,5,4,2,6,"Koufu",4,3,2,4,3,5,2,2,2,5
675,"F","PSYC","Yes","Yes",177,3,5,4,5,"Connexion",4,5,5,4,4,4,4,5,4,3
676,"M","POSC","Yes","No",164,2,4,4,4,"Funan",5,6,3,3,5,4,2,4,3,3
677,"F","SOCG","No","No",167,4,4,3,5,"Koufu",3,4,4,4,4,5,3,3,3,4
678,"M","PSYC","No","Yes",173,5,6,3,3,"Funan",4,5,4,3,5,4,4,4,4,5
679,"F","POSC","Yes","No",159,1,3,4,4,"Connexion",3,6,4,6,5,3,4,5,4,3
680,"M","PSYC","No","Yes",180,3,6,5,4,"Funan",6,5,4,2,5,3,4,5,4,4
681,"F","PSYC","Yes","Yes",150,2,4,3,4,"Funan",4,3,5,5,3,5,3,4,4,3
682,"F","PSYC","No","Yes",153,2,3,5,5,"Funan",4,7,4,4,5,4,4,4,4,4
683,"F","PSYC","No","Yes",161,2,4,4,5,"Funan",5,5,3,3,4,3,3,4,3,3
684,"F","SOCG","No","Yes",164,3,4,3,4,"Connexion",2,3,4,5,2,4,4,4,4,4
685,"M","POSC","No","No",190,3,6,4,3,"Koufu",5,5,6,2,4,5,7,5,7,6
686,"F","PSYC","No","Yes",160,4,4,3,5,"Koufu",3,4,3,5,4,6,4,3,4,5
687,"M","PSYC","Yes","No",165,2,3,5,2,"Koufu",4,6,5,4,5,5,2,5,3,2
688,"F","SOCG","No","Yes",155,1,4,5,5,"Connexion",3,5,3,4,4,3,3,3,3,4
689,"M","SOCG","No","Yes",171,1,4,6,4,"Koufu",4,7,4,3,6,3,4,3,4,5
690,"F","PSYC","No","No",165,2,4,4,4,"Koufu",3,6,4,5,5,3,4,3,4,5
691,"M","POSC","No","No",183,3,6,4,4,"Koufu",2,5,4,4,5,3,4,6,5,4
692,"M","POSC","Yes","No",173,3,5,5,3,"Funan",5,6,5,3,5,5,5,4,5,5
693,"M","PSYC","Yes","Yes",171,1,5,7,3,"Funan",4,9,5,3,5,2,4,4,4,5
694,"M","PSYC","No","No",184,3,5,5,3,"Connexion",3,6,5,5,5,5,5,5,5,4
695,"M","POSC","No","No",174,4,5,4,4,"Koufu",4,4,3,3,4,4,4,3,4,5
696,"M","PSYC","No","No",162,4,4,3,3,"Funan",5,5,5,3,3,4,4,4,4,5
697,"F","PSYC","Yes","No",159,3,3,4,5,"Connexion",3,5,2,6,5,4,3,3,3,4
698,"M","PSYC","No","No",182,3,5,5,3,"Koufu",2,4,5,5,4,6,4,5,4,3
699,"M","PSYC","Yes","No",169,3,4,5,4,"Koufu",3,7,4,4,5,3,2,4,2,3
700,"M","POSC","Yes","No",183,1,4,6,3,"Koufu",3,8,4,4,5,2,3,3,3,5
701,"M","PSYC","No","No",170,4,5,4,4,"Connexion",4,6,4,3,5,3,4,4,4,5
702,"F","SOCG","No","No",156,4,4,4,6,"Funan",4,4,2,3,4,4,5,2,4,6
703,"M","PSYC","Yes","Yes",181,3,6,4,4,"Funan",5,4,5,2,4,5,3,3,4,5
704,"F","PSYC","No","No",172,5,4,2,5,"Koufu",5,2,3,4,4,6,4,3,4,5
705,"M","PSYC","Yes","No",169,5,5,4,4,"Koufu",3,6,4,4,4,5,5,3,5,6
706,"M","PSYC","No","No",183,2,5,5,4,"Funan",4,7,4,4,5,4,4,4,4,4
707,"M","POSC","No","No",182,4,5,4,3,"Connexion",3,5,3,4,4,4,3,3,3,5
708,"M","SOCG","No","Yes",165,4,5,4,5,"Connexion",4,4,4,3,5,3,4,5,4,4
709,"F","PSYC","No","No",162,2,3,3,5,"Connexion",4,5,4,5,4,3,4,4,4,4
710,"M","POSC","No","No",175,2,5,5,3,"Koufu",5,6,5,3,4,4,4,4,4,4
711,"F","PSYC","No","No",153,4,4,3,5,"Connexion",4,2,3,4,2,4,5,4,5,5
712,"M","PSYC","No","No",168,3,5,5,4,"Connexion",3,6,4,3,4,3,2,4,3,4
713,"M","POSC","No","No",155,2,4,5,4,"Koufu",3,6,4,4,4,3,2,3,3,4
714,"F","PSYC","No","No",160,2,3,4,4,"Connexion",2,4,4,5,4,4,3,4,3,3
715,"M","PSYC","No","No",181,1,5,5,3,"Koufu",4,6,4,3,4,3,3,3,3,4
716,"M","POSC","No","No",182,3,5,5,5,"Koufu",4,7,3,4,5,4,4,3,4,5
717,"F","PSYC","Yes","No",160,1,3,6,6,"Funan",5,7,3,4,5,2,4,4,4,4
718,"M","PSYC","Yes","No",179,3,5,4,3,"Koufu",4,6,4,3,5,4,2,5,3,3
719,"M","PSYC","No","No",179,2,4,5,3,"Koufu",2,8,5,5,4,4,4,5,5,4
720,"M","PSYC","No","No",164,2,4,6,2,"Connexion",2,6,5,5,4,3,4,6,4,3
721,"M","PSYC","Yes","No",169,2,4,5,4,"Funan",4,4,4,4,4,4,2,4,3,3
722,"M","POSC","No","No",173,3,5,5,3,"Connexion",3,8,4,4,4,4,3,4,3,4
723,"F","PSYC","No","No",157,3,4,4,4,"Koufu",3,5,2,5,5,4,2,3,2,3
724,"M","SOCG","Yes","No",176,3,5,5,4,"Connexion",2,6,4,4,5,5,3,5,3,2
725,"F","SOCG","No","Yes",167,3,3,3,4,"Koufu",4,4,3,4,4,4,3,4,3,3
726,"M","PSYC","No","No",179,4,6,4,3,"Koufu",4,7,5,3,5,4,5,5,5,5
727,"M","SOCG","Yes","No",177,4,5,4,4,"Koufu",3,7,4,4,5,5,3,4,4,4
728,"M","PSYC","No","Yes",162,4,6,5,4,"Connexion",4,7,5,3,4,4,3,4,3,4
729,"M","PSYC","Yes","Yes",168,4,6,4,2,"Funan",6,5,5,2,3,6,2,5,3,2
730,"M","POSC","Yes","No",182,3,5,6,3,"Funan",4,9,5,4,5,4,3,5,4,4
731,"F","POSC","No","No",165,2,3,3,5,"Funan",5,6,3,4,5,3,3,4,3,4
732,"F","PSYC","Yes","Yes",154,3,4,4,4,"Funan",6,5,3,3,4,4,2,2,2,4
733,"F","PSYC","No","No",171,2,3,4,5,"Funan",4,5,5,4,5,4,4,5,4,3
734,"F","PSYC","Yes","No",160,1,2,5,5,"Connexion",3,4,4,6,3,3,4,4,4,4
735,"F","POSC","Yes","No",167,4,4,1,4,"Funan",5,1,4,4,3,6,4,4,4,4
736,"M","PSYC","Yes","No",178,2,5,5,4,"Connexion",5,6,4,3,5,3,4,5,4,3
737,"M","PSYC","No","No",179,4,6,4,3,"Connexion",4,7,5,3,4,4,4,4,4,5
738,"M","SOCG","Yes","No",180,2,4,5,2,"Connexion",3,7,5,4,4,4,3,3,4,5
739,"M","PSYC","No","No",191,2,5,6,3,"Connexion",2,7,5,5,5,3,4,6,4,3
740,"M","PSYC","No","No",171,2,5,5,3,"Koufu",2,6,4,5,4,3,3,4,3,4
741,"F","PSYC","No","No",172,3,4,3,5,"Funan",5,3,3,4,3,5,3,3,3,4
742,"M","PSYC","Yes","Yes",170,2,5,4,3,"Funan",5,6,6,3,4,5,4,6,5,3
743,"M","POSC","No","No",185,1,5,7,4,"Connexion",3,7,4,4,6,2,2,6,2,1
744,"M","PSYC","Yes","No",179,4,4,4,4,"Koufu",3,4,5,5,5,4,4,4,4,5
745,"F","PSYC","No","Yes",160,1,3,5,5,"Funan",4,5,3,4,5,3,2,3,2,3
746,"M","PSYC","No","No",173,2,4,5,3,"Funan",5,7,5,3,5,4,5,5,5,4
747,"M","PSYC","No","Yes",172,1,4,5,3,"Funan",6,6,5,2,5,3,5,4,5,5
748,"M","POSC","No","No",173,4,6,4,3,"Connexion",3,5,4,3,4,5,3,5,3,3
749,"F","POSC","Yes","No",148,2,3,3,5,"Funan",3,4,4,5,4,5,4,5,4,3
750,"F","PSYC","No","Yes",161,2,4,4,4,"Connexion",3,3,4,4,4,4,5,3,5,5
751,"F","PSYC","Yes","No",167,3,4,3,5,"Connexion",2,5,3,6,4,4,3,5,3,2
752,"F","SOCG","No","No",173,4,5,4,5,"Funan",5,4,3,3,5,3,2,4,2,3
753,"M","POSC","Yes","No",178,2,4,5,4,"Funan",5,7,6,2,5,4,3,5,3,2
754,"F","POSC","No","Yes",157,2,4,3,5,"Connexion",4,3,4,3,3,5,2,4,3,2
755,"F","POSC","No","No",158,1,3,5,4,"Koufu",3,6,4,5,4,3,3,4,3,3
756,"M","POSC","Yes","Yes",168,1,5,7,3,"Connexion",5,8,5,3,6,3,3,4,3,3
757,"F","PSYC","No","No",159,3,4,3,5,"Connexion",3,4,3,4,4,5,4,3,4,5
758,"M","POSC","No","Yes",167,5,6,3,3,"Funan",5,3,5,2,3,6,3,5,4,3
759,"F","PSYC","Yes","No",152,1,1,5,4,"Funan",3,6,3,6,5,2,2,3,2,3
760,"F","PSYC","No","Yes",159,1,3,6,4,"Connexion",3,8,3,5,6,2,5,3,5,6
761,"M","PSYC","No","No",176,2,4,5,4,"Connexion",3,7,4,4,5,3,4,4,4,4
762,"F","SOCG","No","No",158,2,3,3,5,"Connexion",3,4,4,4,4,3,3,3,3,4
763,"M","PSYC","Yes","No",159,1,3,5,3,"Funan",5,6,5,4,4,3,4,5,4,3
764,"F","PSYC","Yes","No",168,4,4,2,5,"Connexion",4,3,3,5,4,6,4,4,4,4
765,"F","POSC","No","No",173,1,4,4,5,"Koufu",3,6,4,5,5,3,3,4,3,3
766,"M","SOCG","Yes","No",171,3,5,6,3,"Funan",3,8,5,4,6,4,4,4,4,4
767,"M","PSYC","No","No",171,3,5,4,3,"Funan",5,6,4,3,3,4,4,5,4,4
768,"F","POSC","Yes","Yes",159,3,4,4,6,"Funan",5,4,3,3,4,5,2,3,2,3
769,"M","POSC","No","No",171,1,4,6,3,"Funan",4,7,5,3,5,3,3,4,3,3
770,"F","POSC","No","No",165,1,3,5,5,"Connexion",4,6,3,4,5,2,4,4,4,4
771,"M","PSYC","No","No",172,1,3,6,3,"Koufu",2,7,4,6,5,1,3,3,3,5
772,"M","SOCG","No","No",176,1,4,5,3,"Koufu",4,4,4,4,5,3,5,4,5,5
773,"M","SOCG","Yes","Yes",185,3,6,6,4,"Koufu",3,7,4,3,5,3,4,2,4,7
774,"F","POSC","No","No",153,3,4,2,4,"Connexion",3,3,4,4,3,5,3,5,3,2
775,"M","PSYC","Yes","No",177,1,4,7,4,"Connexion",3,9,4,4,6,1,2,3,2,4
776,"F","PSYC","Yes","No",159,4,4,3,6,"Koufu",4,2,3,4,4,5,4,3,4,5
777,"M","PSYC","Yes","Yes",180,2,5,6,3,"Koufu",2,7,3,4,5,3,1,4,1,2
778,"F","PSYC","No","No",160,3,3,3,4,"Koufu",4,4,5,4,4,4,4,4,4,4
779,"F","PSYC","No","No",161,2,3,4,5,"Funan",4,5,4,4,4,3,4,4,4,4
780,"M","PSYC","No","Yes",181,3,6,5,4,"Connexion",2,6,3,4,5,3,4,3,4,6
781,"F","PSYC","No","No",159,1,3,5,5,"Funan",5,5,3,4,5,3,3,5,3,2
782,"F","PSYC","Yes","No",155,3,3,3,6,"Connexion",4,3,3,4,3,4,2,4,2,2
783,"M","SOCG","No","No",170,4,5,4,4,"Connexion",4,5,4,3,4,5,4,5,4,3
784,"F","PSYC","No","Yes",165,2,4,4,4,"Funan",5,5,4,3,4,3,2,3,2,4
785,"F","SOCG","Yes","No",161,5,3,2,5,"Connexion",3,3,4,5,4,5,4,4,4,4
786,"F","PSYC","No","No",156,3,4,4,4,"Connexion",4,3,4,4,3,4,4,3,4,5
787,"F","POSC","No","Yes",154,3,3,2,5,"Funan",5,3,3,4,3,4,2,4,2,2
788,"F","PSYC","No","No",178,3,4,3,4,"Connexion",4,2,4,4,3,5,4,4,4,4
789,"M","PSYC","Yes","No",176,2,4,5,4,"Connexion",4,6,4,4,5,3,4,3,4,5
790,"M","POSC","No","No",183,2,5,5,4,"Koufu",4,7,5,4,6,3,4,4,4,5
791,"M","SOCG","Yes","No",189,2,5,5,3,"Funan",5,5,5,3,6,3,4,5,4,4
792,"M","PSYC","No","No",172,5,6,3,4,"Connexion",5,4,4,3,3,6,4,4,4,4
793,"F","PSYC","No","No",164,2,4,4,4,"Connexion",4,6,4,4,5,4,4,5,4,3
794,"M","SOCG","No","No",175,2,4,5,3,"Koufu",2,7,5,5,4,3,5,6,5,4
795,"F","SOCG","No","No",163,3,4,3,5,"Funan",5,5,2,3,5,4,2,2,2,4
796,"F","SOCG","No","No",157,4,4,3,5,"Funan",6,4,3,3,3,4,4,3,4,5
797,"M","POSC","No","No",179,3,5,4,3,"Koufu",3,7,4,4,5,4,4,4,4,4
798,"M","PSYC","No","No",175,2,4,5,4,"Koufu",4,6,5,4,4,4,3,4,4,4
799,"F","POSC","No","Yes",159,2,4,5,5,"Connexion",4,5,3,4,5,3,3,3,3,4
800,"F","PSYC","No","No",158,4,4,3,5,"Connexion",5,4,3,3,4,4,4,3,4,5
801,"F","PSYC","No","No",161,2,4,5,5,"Koufu",3,5,3,5,5,3,4,4,4,4
802,"F","POSC","Yes","No",164,2,3,4,5,"Koufu",3,5,3,5,4,2,3,4,3,4
803,"F","SOCG","No","No",158,3,4,5,4,"Funan",4,7,5,4,4,4,5,4,5,5
804,"M","POSC","No","No",169,2,5,4,3,"Koufu",4,4,4,3,4,5,5,5,5,3
805,"F","POSC","No","No",161,3,4,3,6,"Koufu",3,3,2,5,4,4,3,3,3,4
806,"F","POSC","No","No",164,3,4,5,4,"Koufu",3,5,3,4,3,4,2,3,2,3
807,"M","SOCG","No","No",173,2,4,5,4,"Koufu",4,6,5,3,4,4,4,5,4,3
808,"M","SOCG","No","No",162,5,5,3,3,"Koufu",3,5,5,4,3,5,4,4,4,5
809,"M","PSYC","No","No",166,2,4,6,4,"Koufu",3,8,3,5,5,2,2,5,2,2
810,"M","PSYC","Yes","No",177,4,4,5,3,"Koufu",4,6,4,4,5,4,3,5,4,4
811,"F","POSC","No","No",168,3,4,3,4,"Funan",5,4,4,3,4,4,3,2,3,5
812,"F","PSYC","No","No",164,1,3,4,4,"Koufu",3,4,4,5,4,4,3,5,3,2
813,"M","SOCG","No","Yes",182,3,6,5,4,"Funan",6,6,4,1,5,4,4,5,4,4
814,"M","PSYC","Yes","No",182,2,4,5,4,"Funan",5,6,5,3,5,4,3,3,3,4
815,"M","PSYC","Yes","No",181,2,4,5,4,"Funan",6,7,4,3,5,5,4,4,4,4
816,"M","SOCG","No","No",176,4,5,3,3,"Connexion",3,5,4,4,3,4,4,5,4,4
817,"M","SOCG","Yes","Yes",176,3,6,5,4,"Connexion",3,7,4,3,5,6,3,4,4,4
818,"M","PSYC","No","No",174,3,4,5,4,"Connexion",3,7,5,4,5,5,4,4,4,4
819,"M","SOCG","No","Yes",173,1,5,6,2,"Connexion",3,5,5,4,4,3,4,4,4,4
